Iteration,target,CXPB,INDPB,LAMBDA,MUTPB,NUM_KRILL,PARSIMONY_SIZE,SELECTION_SIZE,
1,107.4432663,0.183404401,0.748292044,5,0.281399544,40,1.173870876,3,
2,45.41660512,0.169112145,0.457090727,137,0.351516709,172,1.2635618,9,
3,132.6266149,0.105477519,0.703420759,107,0.435213897,39,1.258481191,8,
4,18.22058276,0.293652315,0.38208176,174,0.625833491,224,1.168035369,2,
5,33.1249406,0.133966084,0.890328253,29,0.352664575,239,1.526532228,7,
6,162.6862931,0.1,1,250,0.1,5,1.9,10,
7,223.615591,0.2,1,186,0.1,5,1.9,6,
8,68.62441897,0.25,1,200,0.1,58,1.9,4,
9,163.4034511,0.15,0.72298,152,0.1,5,1.9,8,
10,82.38663536,0.25,0.750682,212,0.266212,5,1.678384,5,
11,139.2833742,0.154184378,0.997625427,185,0.189104249,5,1.855824372,7,
12,171.3938659,0.211634265,0.879867527,186,0.231190423,5,1.799897181,7,
13,189.109231,0.153191113,0.841260676,185,0.173531873,5,1.857699124,6,
14,135.965164,0.24371187,0.870335222,185,0.189404224,5,1.893776367,6,
15,73.67442353,0.162048788,0.905603433,184,0.150643709,6,1.85871461,6,
16,220.6030564,0.15,1,185,0.1,5,1.782224171,7,
17,171.0063646,0.161726597,0.96524214,185,0.123359572,6,1.880459416,7,
18,230.4326483,0.15,1,185,0.1,5,1.8,6,
19,223.3345881,0.1,0.9,185,0.1,7,1.719141421,6,
20,179.2171555,0.1,1,186,0.1,7,1.727227279,7,
21,190.4102511,0.1,0.9,185,0.1,8,1.734504551,6,
22,167.1339869,0.1,0.9,184,0.1,8,1.741054096,7,
23,230.2504226,0.1,0.9,186,0.1,7,1.746948686,6,
24,90.8121883,0.1,0.9,187,0.2,8,1.75,6,
25,145.5889545,0.104303829,0.942429279,186,0.13287005,7,1.793688497,6,
26,206.4720999,0.2,1,186,0.1,7,1.75,6,
27,182.3320289,0.1027575,0.945477851,189,0.11908569,12,1.784119009,6,
28,123.4568821,0.119467123,0.974832935,185,0.189475672,7,1.796132084,6,
29,170.883279,0.1,0.9,185,0.1,8,1.75,6,
30,183.8690761,0.107661782,0.906187185,188,0.153471176,12,1.787537058,6,
31,206.2747112,0.123267705,0.983483567,185,0.116671917,5,1.752502369,6,
32,142.8754374,0.123259236,0.962618661,184,0.126418991,5,1.7965571,6,
33,174.3015771,0.174564622,0.947760997,186,0.12226861,7,1.837734996,6,
34,162.4342944,0.176101992,0.966243731,182,0.182121906,8,1.764874074,6,
35,161.4386697,0.163149045,0.982924008,187,0.184759694,6,1.802601563,6,
36,213.8016099,0.1,0.9,184,0.1,9,1.75,6,
37,191.5356701,0.1,0.9,183,0.1,8,1.75,6,
38,178.7935869,0.1,0.9,185,0.2,5,1.75,6,
39,141.0746385,0.120199043,0.981399443,183,0.151548902,5,1.802388813,6,
40,96.53036096,0.114044393,0.901420647,186,0.115706314,7,1.825395834,6,
41,248.6202547,0.1,1,186,0.1,5,1.75,6,
42,101.4044758,0.197074643,1,185,0.1,5,1.7,6,
43,175.0078193,0.097367179,0.995338414,186,0.106480654,5,1.787685754,6,
44,203.5634784,0.184848502,0.911693876,185,0.162986037,5,1.761161103,6,
45,213.7637732,0.124311288,1,185,0.1,5,1.8,6,
46,141.7827677,0.114453557,0.995645481,185,0.115670074,5,1.783113723,6,
47,122.4024937,0.185966365,0.902173531,186,0.142643333,5,1.745886071,6,
48,150.7673478,0.14271757,0.959620831,186,0.19385896,5,1.733183642,6,
49,93.1657041,0.175084355,0.98911076,185,0.179675942,6,1.765883056,6,
50,159.6150916,0.114037106,0.98952776,186,0.195963455,6,1.711771485,6,
51,203.8200626,0.15756914,0.968752095,186,0.141555252,5,1.759922308,6,
52,154.199449,0.191058919,0.965418051,186,0.198878468,5,1.763992815,6,
53,183.0204591,0.148237577,0.974679466,185,0.173319662,5,1.775891042,6,
54,138.0457247,0.14134428,0.996953794,186,0.189824962,5,1.778812565,6,
55,170.4297201,0.160647741,0.925351548,185,0.116254635,5,1.760693733,6,
