Iteration,target,CXPB,INDPB,LAMBDA,MUTPB,NUM_KRILL,PARSIMONY_SIZE,SELECTION_SIZE
1,107.44,0.18,0.75,5,0.28,40,1.17,3
2,45.42,0.17,0.46,137,0.35,172,1.26,9
3,132.63,0.11,0.7,107,0.44,39,1.26,8
4,18.22,0.29,0.38,174,0.63,224,1.17,2
5,33.12,0.13,0.89,29,0.35,239,1.53,7
6,162.69,0.1,1,250,0.1,5,1.9,10
7,223.62,0.2,1,186,0.1,5,1.9,6
8,68.62,0.25,1,200,0.1,58,1.9,4
9,163.4,0.15,0.72,152,0.1,5,1.9,8
10,82.39,0.25,0.75,212,0.27,5,1.68,5
11,139.28,0.15,1,185,0.19,5,1.86,7
12,171.39,0.21,0.88,186,0.23,5,1.8,7
13,189.11,0.15,0.84,185,0.17,5,1.86,6
14,135.97,0.24,0.87,185,0.19,5,1.89,6
15,73.67,0.16,0.91,184,0.15,6,1.86,6
16,220.6,0.15,1,185,0.1,5,1.78,7
17,171.01,0.16,0.97,185,0.12,6,1.88,7
18,230.43,0.15,1,185,0.1,5,1.8,6
19,223.33,0.1,0.9,185,0.1,7,1.72,6
20,179.22,0.1,1,186,0.1,7,1.73,7
21,190.41,0.1,0.9,185,0.1,8,1.73,6
22,167.13,0.1,0.9,184,0.1,8,1.74,7
23,230.25,0.1,0.9,186,0.1,7,1.75,6
24,90.81,0.1,0.9,187,0.2,8,1.75,6
25,145.59,0.1,0.94,186,0.13,7,1.79,6
26,206.47,0.2,1,186,0.1,7,1.75,6
27,182.33,0.1,0.95,189,0.12,12,1.78,6
28,123.46,0.12,0.97,185,0.19,7,1.8,6
29,170.88,0.1,0.9,185,0.1,8,1.75,6
30,183.87,0.11,0.91,188,0.15,12,1.79,6
31,206.27,0.12,0.98,185,0.12,5,1.75,6
32,142.88,0.12,0.96,184,0.13,5,1.8,6
33,174.3,0.17,0.95,186,0.12,7,1.84,6
34,162.43,0.18,0.97,182,0.18,8,1.76,6
35,161.44,0.16,0.98,187,0.18,6,1.8,6
36,213.8,0.1,0.9,184,0.1,9,1.75,6
37,191.54,0.1,0.9,183,0.1,8,1.75,6
38,178.79,0.1,0.9,185,0.2,5,1.75,6
39,141.07,0.12,0.98,183,0.15,5,1.8,6
40,96.53,0.11,0.9,186,0.12,7,1.83,6
41,248.62,0.1,1,186,0.1,5,1.75,6
42,101.4,0.2,1,185,0.1,5,1.7,6
43,175.01,0.1,1,186,0.11,5,1.79,6
44,203.56,0.18,0.91,185,0.16,5,1.76,6
45,213.76,0.12,1,185,0.1,5,1.8,6
46,141.78,0.11,1,185,0.12,5,1.78,6
47,122.4,0.19,0.9,186,0.14,5,1.75,6
48,150.77,0.14,0.96,186,0.19,5,1.73,6
49,93.17,0.18,0.99,185,0.18,6,1.77,6
50,159.62,0.11,0.99,186,0.2,6,1.71,6
51,203.82,0.16,0.97,186,0.14,5,1.76,6
52,154.2,0.19,0.97,186,0.2,5,1.76,6
53,183.02,0.15,0.97,185,0.17,5,1.78,6
54,138.05,0.14,1,186,0.19,5,1.78,6
55,170.43,0.16,0.93,185,0.12,5,1.76,6
