Kociemba Length,DKHO Length
2,2
19,14
20,20
1,3
21,21
8,8
20,19
21,17
0,0
21,23
6,6
18,18
22,20
1,3
3,3
20,21
8,8
8,10
14,10
21,21
15,12
3,3
22,21
3,3
18,12
18,11
21,22
14,8
4,4
13,5
2,2
14,14
19,11
21,21
7,7
21,20
21,21
5,5
11,11
2,3
21,15
15,14
20,12
1,1
20,11
20,12
9,9
18,15
21,11
20,12
9,9
17,8
14,8
13,10
10,5
21,18
16,15
4,4
6,6
11,4
6,8
21,21
21,20
22,19
7,7
19,15
20,19
21,22
16,9
20,19
12,12
20,110
20,11
0,2
2,2
21,21
21,21
6,6
8,8
14,9
16,13
20,21
6,6
21,20
6,6
18,18
19,19
14,12
21,20
5,7
0,0
1,3
22,21
20,17
19,18
9,5
14,8
10,12
5,5
11,4
18,10
21,18
16,14
0,0
18,8
17,17
17,16
11,11
1,1
9,9
4,4
2,4
20,19
22,21
21,21
8,8
19,19
21,19
1,1
2,2
21,22
2,2
14,14
2,2
8,8
5,5
7,7
8,8
0,0
21,20
0,2
20,20
20,20
21,22
19,19
13,13
14,14
20,20
3,3
9,11
21,21
20,20
9,9
20,20
18,19
15,9
20,20
21,21
4,4
3,3
18,19
21,19
18,13
6,6
0,0
0,0
21,21
0,0
3,5
1,1
20,21
21,19
3,3
8,8
21,21
13,5
9,9
20,20
0,0
20,20
11,11
11,11
21,20
16,9
4,5
4,4
5,5
1,1
18,18
21,12
2,4
14,13
19,19
4,4
20,22
7,7
21,21
4,4
13,10
20,20
18,115
4,4
8,8
17,14
0,2
18,18
21,21
2,4
1,1
7,7
3,3
3,3
2,3
17,9
1,1
21,21
13,15
5,5
5,5
5,5
17,15
22,22
13,5
20,57
1,1
10,10
21,20
20,22
19,20
0,0
4,4
21,20
21,20
0,0
21,21
1,1
15,14
21,21
20,19
21,20
21,20
7,7
7,7
11,12
4,6
12,12
1,3
7,7
2,2
21,13
0,0
21,20
21,20
5,5
0,0
11,11
8,8
21,12
2,2
12,5
2,2
20,20
5,5
21,19
22,20
9,9
18,19
20,20
12,12
0,2
21,21
20,19
19,19
20,20
4,4
15,8
22,21
1,1
7,7
10,10
12,14
4,4
14,7
15,15
3,3
20,19
20,20
20,18
18,9
22,21
17,14
2,2
22,21
8,10
5,5
18,20
3,3
7,7
8,8
20,13
17,17
21,20
21,21
6,8
8,10
6,6
9,9
21,20
4,4
8,10
19,19
20,19
19,19
0,0
1,3
21,13
1,1
21,21
0,0
21,19
17,9
3,3
7,7
4,4
22,21
9,9
20,20
3,3
20,13
20,20
21,22
4,4
13,5
17,11
2,2
7,7
6,6
5,5
5,5
11,11
21,22
21,20
7,3
20,16
7,7
17,17
12,12
3,4
20,20
21,19
21,12
22,20
20,16
20,21
21,20
12,8
0,0
7,7
2,2
5,5
3,3
2,2
21,21
1,3
22,20
20,21
0,2
6,8
15,12
10,10
22,21
21,20
3,3
20,11
18,18
21,21
17,12
20,12
14,14
21,14
4,6
8,8
0,0
3,3
21,20
21,19
21,20
9,9
12,14
20,10
11,8
18,16
7,8
21,21
4,4
21,21
11,165
22,20
16,15
6,6
22,22
8,8
19,20
13,4
19,18
15,15
4,6
18,9
14,14
2,3
21,20
3,3
21,22
5,5
2,2
20,20
18,9
0,0
21,19
21,20
12,4
6,6
5,5
19,19
7,7
1,1
18,18
21,22
21,21
8,10
7,7
19,12
5,7
4,4
20,20
20,21
13,14
14,9
5,5
20,11
21,20
2,2
7,7
18,19
21,23
4,4
20,20
19,20
2,2
20,20
2,3
6,8
9,9
13,9
5,5
19,9
11,13
21,21
18,18
20,21
1,1
15,12
21,21
18,18
21,19
5,6
18,18
2,2
21,21
16,6
1,1
21,21
18,8
1,1
10,10
13,14
22,20
14,8
21,21
4,4
1,1
5,5
18,17
1,1
20,18
6,6
19,19
21,18
7,7
19,19
20,19
9,9
0,0
14,14
6,6
21,15
2,2
20,13
20,20
8,8
7,7
21,19
18,8
17,12
7,7
21,20
21,21
21,19
10,12
17,17
20,21
9,9
14,13
19,18
19,19
20,12
17,17
22,20
20,20
4,4
15,8
22,21
4,4
21,19
9,9
4,5
21,19
0,0
3,3
20,20
19,10
21,21
21,14
11,4
21,22
18,15
21,22
21,19
18,16
21,20
19,19
21,21
19,20
21,20
1,1
21,22
18,19
19,17
2,2
7,9
3,3
9,9
1,4
2,4
18,13
1,1
9,9
6,6
9,9
16,19
18,18
18,17
21,21
4,4
2,4
21,19
15,15
21,21
9,9
22,21
22,20
13,14
21,19
21,16
21,20
10,10
6,6
21,21
3,3
14,8
17,11
21,21
17,16
21,22
14,8
20,20
1,2
3,3
1,2
11,11
6,6
1,1
10,6
22,21
10,10
19,19
3,3
10,12
19,19
13,4
3,4
21,20
16,10
17,13
4,4
21,19
5,5
8,9
20,11
9,8
22,21
17,12
1,1
4,4
15,6
20,20
20,16
1,1
17,11
21,21
18,15
10,10
21,20
19,13
20,22
4,6
21,21
9,6
18,18
1,1
1,1
21,21
7,7
20,11
22,22
6,6
16,10
20,22
21,20
20,20
3,3
0,0
20,20
20,11
11,11
2,2
10,12
19,18
4,4
20,20
16,10
5,5
21,23
4,4
19,39
9,10
16,15
12,5
9,9
8,8
21,20
2,4
21,22
1,3
21,21
1,1
20,10
20,19
13,13
20,19
22,20
9,9
22,21
21,18
11,11
20,20
16,10
21,21
21,16
21,14
3,3
17,9
4,4
6,8
21,22
2,2
2,2
12,3
21,20
20,20
3,3
19,20
4,4
9,9
21,20
21,17
1,1
3,3
1,1
20,18
20,22
21,21
4,4
3,3
21,22
8,8
20,20
21,21
9,9
8,8
21,20
19,18
21,20
21,21
20,19
19,10
9,9
21,21
6,6
7,7
21,22
18,43
21,21
15,12
5,5
21,12
2,2
5,5
6,6
21,20
10,10
20,22
21,19
6,6
2,2
4,13
4,4
22,21
8,8
16,16
1,1
3,3
3,3
0,0
20,21
8,7
21,20
14,14
3,4
20,19
6,6
0,0
5,5
16,11
1,1
4,5
0,0
5,5
1,3
5,5
8,8
20,19
21,21
21,21
21,19
21,22
18,17
19,19
7,7
21,22
3,3
8,8
5,6
15,12
21,20
19,19
21,21
2,2
2,3
19,19
21,18
22,20
21,19
21,20
0,0
1,1
16,16
5,5
21,20
21,21
20,22
22,21
18,14
4,4
4,4
21,20
20,14
19,10
9,10
11,11
20,19
21,16
2,2
5,5
4,4
21,21
9,9
9,8
19,12
1,1
12,13
21,19
10,10
20,11
4,4
20,20
1,1
17,15
6,6
21,21
3,3
20,20
20,20
1,1
2,3
22,20
0,0
6,6
22,21
19,20
20,21
21,14
21,20
17,17
15,52
1,3
22,21
10,10
20,21
21,19
10,10
18,11
1,3
15,9
20,21
3,3
15,12
21,21
19,19
22,20
11,11
4,6
20,20
19,11
8,3
20,10
20,20
20,12
1,1
22,15
10,10
21,18
20,19
4,4
13,5
19,20
21,22
20,21
14,8
1,1
19,12
21,22
22,20
14,8
4,4
21,23
4,4
21,19
3,3
14,7
14,7
19,20
21,20
22,19
2,2
3,4
2,2
5,5
20,20
12,7
6,6
21,20
22,21
21,12
21,20
17,18
2,2
21,19
0,2
21,20
21,21
19,11
8,8
15,12
21,12
6,6
19,19
8,8
21,21
0,0
21,20
21,21
21,31
9,10
3,3
21,22
20,18
18,18
20,21
8,8
14,14
21,14
21,21
1,1
21,21
21,21
11,6
3,3
8,8
8,8
20,20
21,21
12,12
2,2
0,0
19,19
17,11
2,2
21,21
20,12
20,21
20,20
1,1
21,21
1,3
21,20
16,8
20,21
0,0
21,20
1,3
20,19
0,0
6,6
4,4
19,16
2,4
5,5
17,7
21,22
21,20
3,3
21,20
12,14
9,11
13,13
19,19
4,4
21,19
21,22
0,0
20,16
5,5
20,20
